Title,Tropes Count
Ant-Man and the Wasp: Quantumania,199
Dream Park,199
Gunslinger Girl,199
Descent,199
Digimon Story: Cyber Sleuth,199
In Famous Second Son,199
Ōban Star-Racers,199
Fractale,198
Arc of a Scythe,198
Mega Man Legends,198
Metro Exodus,198
Sonny,198
FLCL,197
The Transformers: Last Stand of the Wreckers,197
Doctor Who Novelisations,197
Star Trek: Enterprise Relaunch,197
Until Death Do Us Part,197
Jem Jammer,197
Assassin's Creed: Revelations,197
StarCraft II,197
Gundam Build Fighters,196
Binary Domain,196
Custom Robo,196
Resistance,196
To the Moon,196
Atomic Betty,196
Star Wars: Legacy,195
Star Wars Paranormalities Trilogy,195
Star Trek III: The Search for Spock,195
Escape from New York,195
Looper,195
Transformers: Super-God Masterforce,194
Doctor Who (Titan): Twelfth Doctor,194
Superman II,194
WarGames,194
Mortal Engines,194
Sonic the Hedgehog CD,194
Invader Zim (Oni),193
Star Trek V: The Final Frontier,193
The Sarah Jane Adventures,193
Taken,193
Assassin's Creed Rogue,193
Assassin's Creed Syndicate,193
Brigador,193
Mega Man Rock Force,193
Metroid Fusion,193
Digimon Data Squad,192
Albedo: Erma Felna EDF,192
War for the Planet of the Apes,192
Short Circuit,192
Arpeggio of Blue Steel,192
Blue Planet,192
Indiana Jones and the Kingdom of the Crystal Skull,191
Snow White and Seven Dwarfs,191
Endless Sky,191
Pikmin,191
Roughnecks: Starship Troopers Chronicles,191
Saga,190
Us,190
Escape Velocity,190
Mirror's Edge,190
The Transformers (Marvel),189
Avatar: The Way of Water,189
Elysium,189
The Hunger Games,189
The Barrier,189
StarCraft,189
Empire at War,189
Titanfall 2,189
REDLINE,188
Train to Busan,188
Daikaiju Yuki,188
Resident Evil – Code: Veronica,188
Mnemosyne,187
Phantasy Star Online 2: The Animation,187
Independence Day: Resurgence,187
Galaxy Angel,187
DARLING in the FRANXX,186
The Last Starfighter,186
Pikmin 2,186
Resident Evil,186
Stray,186
Great Mazinger,185
Eighth Doctor Adventures,185
Old Man's War,185
Star Carrier,185
Baldr Sky,185
Kung Fury,184
Elfen Lied,184
Guyver,184
Outlast,184
Vexxarr,184
Event Horizon,183
Young Frankenstein,183
The Invisible Man,183
Call of Duty,183
Command & Conquer: Tiberian Series,183
Earth Defense Force 2025,183
The Incredible Hulk (2008),182
The Martian,182
Aeon 14,182
Star Trek: Department of Temporal Investigations,182
Astral Chain,182
Digimon World -next 0rder-,182
Digimon Survive,182
Quake IV,182
Sin and Punishment: Star Successor,182
Invader Zim: Enter the Florpus,182
Star Trek: Lower Decks,182
The Martian,181
Riesel Tales: Two Hunters,181
Black Jack,181
Bulletstorm,181
Earth 2150,181
Mighty No. 9,181
Project Altered Beast,181
Star Wars Jedi: Survivor,181
Guilty Crown,180
Str.A.In.: Strategic Armored Infantry,180
Transformers: Cybertron,180
The Chronicles of Riddick (2004),180
War of the Worlds (2005),180
Project Hail Mary,180
Starship Troopers,180
Knight Rider,180
"Roswell, New Mexico",180
Half-Life: Alyx,180
Kipo and the Age of Wonderbeasts,180
Thunderbirds Are Go,180
The Transformers: Dark Cybertron,179
Dune (1984),179
Alien: Covenant,179
Foundation (2021),179
"Invisible, Inc.",179
After War Gundam X,178
Johnny Mnemonic,178
Star Trek IV: The Voyage Home,178
Annihilation (2018),178
Equilibrium,178
Halcyon Park,178
Terra Nova,178
Digimon World,178
Supreme Commander,178
Snatcher,178
X-Wing Rogue Squadron,177
RoboCop 2,177
Arrivals from the Dark,177
The 4400,177
Caprica,177
StarCraft II: Legacy of the Void,177
Armageddon (1998),176
Gravity,176
Deep Rising,176
86 EIGHTY-SIX,176
From the New World,176
Prince Roger,176
Altered Carbon,176
Fallout,176
Hellsinker,176
Endless Summer,176
Suppression,176
Castle in the Sky,175
Night Lords,175
Crying Suns,175
17776,175
Godzilla: The Series,175
Mobile Suit Gundam SEED Destiny,174
Y: The Last Man,174
The Adventures of Buckaroo Banzai Across the 8th Dimension,174
John Carter,174
Men in Black 3,174
Kirby Super Star,174
The Incredible Hulk (1996),174
GaoGaiGar,173
Ergo Proxy,173
Irresponsible Captain Tylor,173
The Black Hole,173
Riddick,173
Little Shop of Horrors,173
The Nature of Predators,173
Lost in Space (2018),173
Obi-Wan Kenobi,173
inFAMOUS 2,173
Cognitive Dissonance,173
Not a Villain,173
MegaMan NT Warrior (2002),172
Fantastic Four (2015),172
Predator 2,172
Rihannsu,172
Lost in Space,172
The Journeyman Project,172
Kirby 64: The Crystal Shards,172
Manhunt 2,172
Phantasy Star Online,172
Halo: Combat Evolved,171
Parasite Eve,171
Ratchet & Clank (2016),171
TimeSplitters,171
Adventures of the Galaxy Rangers,171
Gundam Build Fighters Try,170
Chronicle,170
Judge Dredd,170
Innerspace,170
The Postman,170
Galactic Civilizations,170
Superhot,170
Serial Experiments Lain,169
Alien Chronicles,169
Rockman 4 Minus Infinity,169
Penumbra,169
My Girlfriend Is the President,169
Dresden Codak,169
Mortasheen,169
Time Squad,169
V for Vendetta,168
Creepshow,168
Hive Mind (2016),168
Earthsearch,168
Flip Flappers,167
Mobile Suit Gundam: The Witch from Mercury,167
The Outer Limits (1963),167
Assassin's Creed: Unity,167
Resident Evil 3: Nemesis,167
Sonic the Hedgehog 2,167
Jedi Knight: Jedi Academy,167
Robotics;Notes,167
Men in Black: The Series,167
Time Bokan,166
Dawn of the Planet of the Apes,166
Star Trek: Titan,166
Spirit Circle,166
Mega Man X8,166
No Man's Sky,166
Serious Sam 3: BFE,166
Star Wars: Darth Vader,165
All Tomorrows,165
Uplift,165
Weird Science,165
Star Trek: The Animated Series,165
RahXephon,164
Takeshi Kovacs,164
Wayfarers,164
Command & Conquer: Red Alert Series,164
Commander Keen,164
Titanfall,164
TRON 2.0,164
Spacetrawler,164
UFO Robo Grendizer,163
Zathura,163
Indiana Jones and the Dial of Destiny,163
Doctor Who New Adventures,163
Star Trek: New Frontier,163
Wild Cards,163
"Barkley, Shut Up and Jam: Gaiden",163
Prey (2006),163
Unreal Tournament 2004,163
The Matrix Reloaded,162
Child's Play (2019),162
RCN,162
Red Queen,162
Star Trek: Coda,162
King of Thorn,162
Einhänder,162
Macross Delta,161
Buck Godot: Zap Gun for Hire,161
Brave New World,161
The Pentagon War,161
Metroid Prime: Hunters,161
Resident Evil: Outbreak,161
Star Trek: Elite Force,161
Future GPX Cyber Formula,160
Re:CREATORS,160
Children of Men,160
Metropolis,160
Parasyte,160
Doom II,160
Risk of Rain 2,160
SOMA,160
Space Pirates and Zombies,160
Star Ocean: The Second Story,160
Times Like This,160
Bravestarr,160
Jurassic Park III,159
Battlefield Earth,159
Leviathan,159
Sholan Alliance,159
Star Trek: Mirror Universe,159
Unwind,159
Bokurano,159
Cowboy Bebop (2021),159
Battlefleet Gothic: Armada 2,159
Call of Duty: Advanced Warfare,159
Remember Me,159
